town_city,year,method_description,usage,voting_method
BENSON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,Yes,town_sd_ab_officers
BENSON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,Yes,town_sd_ab_budget
BENSON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,Yes,town_sd_ab_public_q
BENSON,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BENSON,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BENSON,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BENSON,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BENSON,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,Yes,town_ab_officers
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,Yes,town_ab_budget
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,Yes,town_sd_ab_officers
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,Yes,town_sd_ab_budget
BERKSHIRE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
BERKSHIRE,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BERKSHIRE,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BERKSHIRE,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BERKSHIRE,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BERKSHIRE,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,Yes,town_ab_officers
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,Yes,town_ab_budget
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,Yes,town_sd_ab_officers
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,Yes,town_sd_ab_budget
BERLIN,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
BERLIN,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BERLIN,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BERLIN,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BERLIN,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BERLIN,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,No,town_sd_ab_budget
BETHEL,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
BETHEL,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BETHEL,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BETHEL,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BETHEL,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BETHEL,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BOLTON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,Yes,town_ab_officers
BOLTON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BOLTON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
